Y,X,Z,Omega,psi,U,V
0.007751938,0.7674418605,0,0.2162834711,-6.340610887E-06,-0.0043178018,-8.0434534669E-05
0.007751938,0.7751937984,0,0.1970157453,-5.724626386E-06,-0.0039099931,-7.8438465034E-05
0.007751938,0.7829457364,0,0.1782470223,-5.125294361E-06,-0.00351306,-7.6139151637E-05
0.007751938,0.7906976744,0,0.1600471626,-4.544941338E-06,-0.0031285233,-7.3543093817E-05
0.007751938,0.7984496124,0,0.1424841647,-3.985837476E-06,-0.0027578656,-7.0658340159E-05
0.007751938,0.8062015504,0,0.1256237737,-3.45018444E-06,-0.0024025235,-6.7494518784E-05
0.007751938,0.8139534884,0,0.1095290794,-2.940103014E-06,-0.0020638792,-6.4062877371E-05
0.007751938,0.8217054264,0,0.0942600954,-2.457620335E-06,-0.0017432519,-6.0376338935E-05
0.007751938,0.8294573643,0,0.0798733188,-2.004656627E-06,-0.0014418889,-5.6449580663E-05
0.007751938,0.8372093023,0,0.0664212595,-0.000001583,-0.0011609562,-5.2299146919E-05
0.007751938,0.8449612403,0,0.053951932,-1.194347324E-06,-0.0009015281,-4.7943607118E-05
0.007751938,0.8527131783,0,0.0425082963,-8.40175852E-07,-0.0006645761,-4.3403783298E-05
0.007751938,0.8604651163,0,0.032127629,-5.21836489E-07,-0.0004509565,-3.870305325E-05
0.007751938,0.8682170543,0,0.0228408044,-2.404764E-07,-0.0002613955,-3.3867809771E-05
0.007751938,0.8759689922,0,0.0146714527,0.000000003,-9.6472478334E-05,-0.000028928
0.007751938,0.8837209302,0,0.0076349571,2.07838161E-07,4.3400696776E-05,-2.3918111323E-05
0.007751938,0.8914728682,0,0.0017372365,3.73719623E-07,0.0001580052,-1.8877909225E-05
0.007751938,0.8992248062,0,-0.0030267567,5.00563485E-07,0.0002473475,-1.3855176219E-05
0.007751938,0.9069767442,0,-0.0066749134,5.88714084E-07,0.0003116998,-8.904891862E-06
0.007751938,0.9147286822,0,-0.0092403373,0.000000639,0.0003516545,-4.100400449E-06
0.007751938,0.9224806202,0,-0.0107743572,6.52850818E-07,0.0003681943,4.83211698E-07
0.007751938,0.9302325581,0,-0.0113503558,6.32444839E-07,0.0003627868,4.70776916E-06
0.007751938,0.9379844961,0,-0.0110686004,5.80928081E-07,0.0003375108,8.507407352E-06
0.007751938,0.9457364341,0,-0.0100621795,5.027046E-07,0.0002952269,1.1498667157E-05
0.007751938,0.9534883721,0,-0.0085038602,4.03841862E-07,0.0002398029,1.3952696761E-05
0.007751938,0.9612403101,0,-0.0066127356,2.92616603E-07,0.0001764015,1.418749698E-05
0.007751938,0.9689922481,0,-0.0046568848,1.80205527E-07,0.0001118053,1.5328260468E-05
0.007751938,0.976744186,0,-0.0029398859,8.1410504E-08,5.4628556847E-05,7.581943047E-06
0.007751938,0.984496124,0,-0.0017178514,1.4894377E-08,1.4831094957E-05,1.4830195256E-05
0.007751938,0.992248062,0,-0.000830678,0,0,-2.0566663832E-05
0.015503876,0,0,-0.0033993862,0,0,0.000072265
0.015503876,0.007751938,0,-0.002302586,1.00360038E-07,6.754844335E-06,-5.9492572289E-05
0.015503876,0.015503876,0,-0.0012413595,3.22902816E-07,1.8803468976E-05,-1.8750695862E-05
0.015503876,0.023255814,0,-0.0001896176,5.82381214E-07,3.1051132763E-05,-3.8057130879E-05
0.015503876,0.0310077519,0,0.0009848572,8.10550403E-07,3.9653634404E-05,-2.3088449012E-05
0.015503876,0.0387596899,0,0.0024928839,9.5883573E-07,4.1618614587E-05,-1.3210895638E-05
0.015503876,0.0465116279,0,0.0045315094,9.9458322E-07,3.473309424E-05,3.945421712E-06
0.015503876,0.0542635659,0,0.0072588693,0.000000897,1.7455453282E-05,2.1681787568E-05
0.015503876,0.0620155039,0,0.0107910409,6.53735188E-07,-1.1209250321E-05,4.1130265552E-05
0.015503876,0.0697674419,0,0.0152064894,2.58762026E-07,-5.1825779891E-05,6.0833724718E-05
0.015503876,0.0775193798,0,0.0205524017,-2.89650974E-07,-0.0001046271,8.0613137927E-05
0.015503876,0.0852713178,0,0.0268508534,-0.00000099,-0.0001695933,0.000100009
0.015503876,0.0930232558,0,0.0341041481,-1.838663817E-06,-0.0002465138,0.000118819
0.015503876,0.1007751938,0,0.0422992256,-2.830178376E-06,-0.0003350359,0.0001368522
0.015503876,0.1085271318,0,0.051411219,-3.958098899E-06,-0.0004347018,0.0001539944
0.015503876,0.1162790698,0,0.0614062982,-5.215168227E-06,-0.0005449777,0.0001701622
0.015503876,0.1240310078,0,0.0722439308,-6.593623455E-06,-0.000665277,0.0001853055
0.015503876,0.1317829457,0,0.0838786787,-8.085398451E-06,-0.0007949771,0.0001993956
0.015503876,0.1395348837,0,0.0962616229,-9.682276985E-06,-0.0009334335,0.0002124215
0.015503876,0.1472868217,0,0.1093414933,-0.000011376,-0.0010799901,0.0002243848
0.015503876,0.1550387597,0,0.1230655611,-1.3158394612E-05,-0.0012339878,0.000235297
0.015503876,0.1627906977,0,0.1373803424,-1.5021354594E-05,-0.0013947703,0.0002451764
0.015503876,0.1705426357,0,0.1522321485,-0.000016957,-0.0015616894,0.0002540468
0.015503876,0.1782945736,0,0.1675675107,-1.895752623E-05,-0.0017341079,0.0002619351
0.015503876,0.1860465116,0,0.1833335065,-2.1015518784E-05,-0.0019114027,0.0002688708
0.015503876,0.1937984496,0,0.1994780007,-2.3123682458E-05,-0.0020929662,0.0002748844
